"Insertion Order Name","Client","Internal Campaign","Period","Filter","Format","Deal","Status","Start Date","End Date","Impressions Goal","CPM","CPM Celtra","Budget","CPM R+","Budget R+","Pacing","Targeting Audience","Important","KPI","KPI - VCR","KPI - CTR","KPI - VIEW","KPI - BSAFE","KPI - OOG","KPI - IVT","Teams SharePoint","DSP","Insertion Order ID","DSP Report ID","AdServer","Placement Group ID","AdS Report ID","Verifier","VRF Report ID","Verifier ID","Category","Agency","Trafficker","AM","QA AM"
"O-D2FM2RM-R1_P3BHXRR_Eli Lilly: Beacon Display + Video 2026_H18+_Display_RON_1937310_Q2","Eli Lilly","Beacon","2026","Beacon","Display","Direct","Upcoming","4/1/2026","6/30/2026","2,500,000",,,"$0.0","$10.0","$25,000.00",,"• General Public (A18+), Secondary Target (A35-65)",,,"0.75","0.001","0.7","0.95","0.98","0.98","https://buhomedia275.sharepoint.com/:f:/s/Relevant/IgDauFLg1pWEQqkdB9OQUoTgAdcd7BwMea4k2o230mZYDbw?e=ZW4sUK","(tbd)",,"#1514472275","(none)",,,"(none)",,,"Pharma","Zenith","Axel Alvez","Lucas Kincaid","Alejandro Bernis"
"O-D2FM2RM-R1_P3BHXRS_Eli Lilly: Beacon Display + Video 2026_H18+_Display_RON_1937310_Q3","Eli Lilly","Beacon","2026","Beacon","Display","Direct","Upcoming","7/1/2026","9/30/2026","2,500,000",,,"$0.0","$10.0","$25,000.00",,"• General Public (A18+), Secondary Target (A35-65)",,,"0.75","0.001","0.7","0.95","0.98","0.98","https://buhomedia275.sharepoint.com/:f:/s/Relevant/IgDauFLg1pWEQqkdB9OQUoTgAdcd7BwMea4k2o230mZYDbw?e=ZW4sUK","(tbd)",,"#1514472275","(none)",,,"(none)",,,"Pharma","Zenith","Axel Alvez","Lucas Kincaid","Alejandro Bernis"
"O-D2FM2RM-R1_P3BHXRT_Eli Lilly: Beacon Display + Video 2026_H18+_Display_RON_1937310_Q4","Eli Lilly","Beacon","2026","Beacon","Display","Direct","Upcoming","10/1/2026","12/31/2026","2,500,000",,,"$0.0","$10.0","$25,000.00",,"• General Public (A18+), Secondary Target (A35-65)",,,"0.75","0.001","0.7","0.95","0.98","0.98","https://buhomedia275.sharepoint.com/:f:/s/Relevant/IgDauFLg1pWEQqkdB9OQUoTgAdcd7BwMea4k2o230mZYDbw?e=ZW4sUK","(tbd)",,"#1514472275","(none)",,,"(none)",,,"Pharma","Zenith","Axel Alvez","Lucas Kincaid","Alejandro Bernis"
"O-D2FM2RM-R1_P3BV6H3_Eli Lilly: Beacon Display + Video 2026_H18+_Display_RON_AV_1937310","Eli Lilly","Beacon","2026","Beacon","Display","AV","Upcoming","10/1/2026","10/15/2026","375,000",,,"$0.0","$0.0","$0.00",,"• General Public (A18+), Secondary Target (A35-65)",,,"0.75","0.001","0.7","0.95","0.98","0.98","https://buhomedia275.sharepoint.com/:f:/s/Relevant/IgDauFLg1pWEQqkdB9OQUoTgAdcd7BwMea4k2o230mZYDbw?e=ZW4sUK","(tbd)",,"#1514472275","(none)",,,"(none)",,,"Pharma","Zenith","Axel Alvez","Lucas Kincaid","Alejandro Bernis"
"O-D2FM2RM-R1_P3BV6JQ_Eli Lilly: Beacon Display + Video 2026_H18+_Display_RON_AV_1937310","Eli Lilly","Beacon","2026","Beacon","Display","AV","Upcoming","5/5/2026","5/25/2026","375,000",,,"$0.0","$0.0","$0.00",,"• General Public (A18+), Secondary Target (A35-65)",,,"0.75","0.001","0.7","0.95","0.98","0.98","https://buhomedia275.sharepoint.com/:f:/s/Relevant/IgDauFLg1pWEQqkdB9OQUoTgAdcd7BwMea4k2o230mZYDbw?e=ZW4sUK","(tbd)",,"#1514472275","(none)",,,"(none)",,,"Pharma","Zenith","Axel Alvez","Lucas Kincaid","Alejandro Bernis"
"O-D2FHD7T-R0_P3BHWGK_Eli Lilly: Beacon Display + Video 2026_H18+_OLV_RON_1937310_Q2","Eli Lilly","Beacon","2026","Beacon","OLV","Direct","Upcoming","4/1/2026","6/30/2026","1,136,364",,,"$0.0","$22.0","$25,000.01",,"• General Public (A18+), Secondary Target (A35-65)",,,"0.75","0.0025","0.7","0.95","0.98","0.98","https://buhomedia275.sharepoint.com/:f:/s/Relevant/IgDauFLg1pWEQqkdB9OQUoTgAdcd7BwMea4k2o230mZYDbw?e=ZW4sUK","(tbd)",,"#1514472275","(none)",,,"(none)",,,"Pharma","Zenith","Axel Alvez","Lucas Kincaid","Alejandro Bernis"
"O-D2FHD7T-R0_P3BHWGL_Eli Lilly: Beacon Display + Video 2026_H18+_OLV_RON_1937310_Q3","Eli Lilly","Beacon","2026","Beacon","OLV","Direct","Upcoming","7/1/2026","9/30/2026","1,136,364",,,"$0.0","$22.0","$25,000.01",,"• General Public (A18+), Secondary Target (A35-65)",,,"0.75","0.0025","0.7","0.95","0.98","0.98","https://buhomedia275.sharepoint.com/:f:/s/Relevant/IgDauFLg1pWEQqkdB9OQUoTgAdcd7BwMea4k2o230mZYDbw?e=ZW4sUK","(tbd)",,"#1514472275","(none)",,,"(none)",,,"Pharma","Zenith","Axel Alvez","Lucas Kincaid","Alejandro Bernis"
"O-D2FHD7T-R0_P3BHWGM_Eli Lilly: Beacon Display + Video 2026_H18+_OLV_RON_1937310_Q4","Eli Lilly","Beacon","2026","Beacon","OLV","Direct","Upcoming","10/1/2026","12/31/2026","1,136,364",,,"$0.0","$22.0","$25,000.01",,"• General Public (A18+), Secondary Target (A35-65)",,,"0.75","0.0025","0.7","0.95","0.98","0.98","https://buhomedia275.sharepoint.com/:f:/s/Relevant/IgDauFLg1pWEQqkdB9OQUoTgAdcd7BwMea4k2o230mZYDbw?e=ZW4sUK","(tbd)",,"#1514472275","(none)",,,"(none)",,,"Pharma","Zenith","Axel Alvez","Lucas Kincaid","Alejandro Bernis"
"O-D2C0P8Q-R0_P38XF9Y _AbbVie_SKYRIZI Ps_Psoriasis 2026_A3544_Display_RON_1830341","AbbVie","Psoriasis","2026","PS2026","Display","Direct","Live","1/5/2026","12/31/2026","10,000,000","$3.5",,"$35,000.0","$10.0","$100,000.00","Monthly
",,,,,"0.001","0.5","0.95","0.98","0.98","https://buhomedia275.sharepoint.com/:f:/s/Relevant/IgC-seJwKE-sQKMlRGbVZwm8ASpW8PKIiF-PKlwA6w9yNAw?e=Zjz7Tl","DV360","1025316573","#1514472275","(none)","CM360 - missing pgid","##1591782870","(none)",,,"Pharma","Spark Foundry","Axel Alvez","Lucas Kincaid","Alejandro Bernis"
"O-D2C0P8Q-R0_P38XF13_AbbVie_SKYRIZI Ps_Psoriasis 2026_A3544_Display_RON_AV_1830341","AbbVie","Psoriasis","2026","PS2026","Display","AV","Live","1/5/2026","12/31/2026","750,000","$2.3",,"$1,725.0","$0.0","$0.00","Monthly
",,,,,"0.001","0.5","0.95","0.98","0.98","https://buhomedia275.sharepoint.com/:f:/s/Relevant/IgC-seJwKE-sQKMlRGbVZwm8ASpW8PKIiF-PKlwA6w9yNAw?e=Zjz7Tl","DV360","1025245913","#1514472275","(none)","CM360 - missing pgid","##1591782870","(none)",,,"Pharma","Spark Foundry","Axel Alvez","Lucas Kincaid","Alejandro Bernis"
"O-D2C0CBG-R0_P38XQXG_AbbVie_SKYRIZI PsA _Artrosis 2026_A35-54_Display_RON_1830346","AbbVie","Artrosis","2026","PSA2026","Display","Direct","Live","1/5/2026","12/31/2026","12,500,000","$3.5",,"$43,750.0","$10.0","$125,000.00","Monthly
","• Branded: Adults 35-54 patients diagnosed with PsA
• A35-54 patients diagnosed with PsA
• Female (74%), white (80%), married (67%), employed full-time (87%)
• Secondary Target: Skin of Color A35-54, Black, Hispanic, and Asian/Pacific Islander
• Joint stiffness, pain, swelling (PsA)",,,,"0.001","0.5","0.95","0.98","0.98","https://buhomedia275.sharepoint.com/:f:/s/Relevant/IgDOvSiGFlSGT6BE415yFLqyAXtRdJlWbCFKcoZl62K2Qjc?e=ERwLFE","DV360","1025600440","#1514472275","(none)","CM360 - missing pgid","##1591782870","(none)",,,"Pharma","Spark Foundry","Facundo Baccile","Lucas Kincaid","Alejandro Bernis"
